review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,"침대옆에 협탁하나만 뒀을뿐인데 일상 속 소소한 부분에서 여유로움과 편리함을 느끼고 있어요. 뭔가 마시려고 컵을 올려두거나  책을 올려두거나 하면서요. (번거롭게 책상까지 가거나 하는 일이 없어서 되게 편하더라구요.) 
 무엇보다도 이 협탁에 스탠드 등 하나만 켜 놓으면 분위기에 취해서 기분도 좋아지고 사람이 안정적이게 되더라구요 ... 원목 색상도 차분한 베이지라 어느공간에도 무난하게 잘 어울릴것같고 꼭 침대옆이 아니더라도 실용적으로 쓸 수 있다고 봐요.  2월 말에 구매하고 한달동안 써본 후기 입니다. 저어엉말 유용하게 쓰고 있어요. 저렴한 가격에 무드있는 디자인  그리고 가구로써 탄탄함을 겸비한 제품은 흔치 않다고 생각합니다. 진심 추천해요.",yyab****,21.03.31.,0,협탁,침실가구
,,,,,,,
2,4,가성비 좋은 제품 같습니다. 원목 디자인이라 깔끔하게 인테리어 가능합니다. 하지만 고퀄리티를 기대하시면 다른 제품 구매 권해드립니다. 단차나 약간의 불량이 있을 수 있습니다. 여성분들은 전동드릴 있으면 쉽게 제작 가능 할 것 같습니다. 저는 드라이버로 뚝딱 설치했습니다.,hobb****,21.04.04.,0,협탁,침실가구
,,,,,,,
3,5,"가성비 좋은 것 같아요~~
못이 하나가 안와서 내일 배송해주신다고 하셨습니다!
못 하나 빼고 조립 완료했는데 좀 힘들었어요ㅠㅠ
평소 힘 센편에 속하는 여잔데...음 좀 힘들었습니다
전동 드라이버 있으면 걍 뚝딱 개꿀일듯요
드라이버랑 망치 있어야 해요! 안에 못 모양으로 구멍이 있는 게 아니라 안쪽으로 넣을 때 망치질 추천
아 그리고 ★손 조심하세요★ 나무에 철사? 같은 게 튀어나와있어서 찔렸어요ㅠㅠ 가위로 잘 빼긴 했는데 처음에 만지실때 조심하시길 바래용",wldb****,21.03.10.,0,협탁,침실가구
,,,,,,,
4,5,이거 전동 드라이버 있어야합니다~ 손 아파요 저는 리뷰 보고 다이소  전동 드릴  샀어요 근데 디자인은 예뻐요 저렴한만큼  조금의 노동이 필요합니다!  그래도 끝나면 여뻐서 만족합니다!!  다 조립 끝나면 흔들거리는데 설명서에도 나와있듯 다리밑에 못??나사?요걸로 조절하라고 나와있는데 전 귀찮아세  두꺼운 양면 테이프 넣으니 딱 맞아서 씁니다!! 디자인은 깔끔하고 좋습니다!!,wjdg****,21.04.01.,0,협탁,침실가구
,,,,,,,
5,5,"퀄리티가 엄청 좋진 않아요 ㅠㅠ
마감이 일단 덜되어있어서 만질때 조금 조심스럽고 나사 구멍도  다 달라서 조립도 힘들었습니다",sonk****,21.04.07.,0,협탁,침실가구
,,,,,,,
6,3,생각보다 가볍고 사진과 색상 디자인 크기 똑같은데 나무다리 부분이 약간 썩어있는것 처럼 검게 변해있고 니스칠?이 부족해서 좀 거칠어요~전동 드릴이 없어서 손으로 조립했은데 나사구멍에 못이 잘 안맞아서 드라이버로 돌려 넣기가 엄청 힘들었어요...ㅠ 다시 풀기 힘들어서 교환하고싶어도 참으려고요ㅠㅠ,sumi****,21.03.22.,0,협탁,침실가구
,,,,,,,
7,2,걱정한건 조립이었는데 그건 생각보다 어렵지 않았지만 상판이 곰팡이 핀거같은 문양이네요 말해봐야 불량이 아니라고 교환 안해줄테니 그냥 써야죠 뭐,jess****,21.03.26.,0,협탁,침실가구
,,,,,,,
8,5,아담하니 이쁘고 마음에 듭니다. 조립하는데 전동드릴있어서 10분안에 해결했네요~ㅎ 만족합니다..,skcg****,21.04.08.,0,협탁,침실가구
,,,,,,,
9,5,조립하는건 어렵지 않은데 나사 몇개가 너무 빡빡해서 조금 힘들었지만 충분히 할수는 있어요 ~ 다 완성해서 침대 옆에두니 너무 예쁘네요,kula****,21.04.01.,0,협탁,침실가구
,,,,,,,
10,5,"협탁용으로 구매했지만 다용도 사용하기 좋아 보입니다 
마감은 조금 안 좋습니다",onsi****,21.04.07.,0,협탁,침실가구
,,,,,,,
11,5,양쪽 침대중간에 놓을려고삿는데 맞춤처럼 딱맞아요 크기도적당하고 너무좋네요 빠른배송도감사합니다,sndk****,21.04.02.,0,협탁,침실가구
,,,,,,,
12,5,생각보다 조립이 빡세네요 한부분이 조립하다 쩌억 갈라지는 소리가 나서 식겁하긴했는데.. 아예 쪼개지진 않아서 다행 ㅎ 가성비 좋아요,hk3c****,21.03.27.,0,협탁,침실가구
,,,,,,,
13,5,생각했던것보다 작았지만 협탁으로 쓰기에는 아주 좋은사이즈에요! 조립하는건 전동드릴쓰니까 금방했네요,shin****,21.03.28.,0,협탁,침실가구
,,,,,,,
14,1,아니  가격대비 질이  안젛은거같아요. 구매평이 괜찮길래 믿고 구매했는데 조립하려고 들자마자 받침 하나가 툭 하고 빠지고  못인지 바늘인지 찔릴뻔했네요. 그리고 서랍 뒷면이 그냥 끼우는거던데 조립후에도 틈이 생겨서 껴지지않고 빠집니다. 나사를 다 조여도 틈이 생기네요. 그냥 돈 도 주고 견고한 제품 구매할걸 그랬어요.,pigd****,21.03.07.,0,협탁,침실가구
,,,,,,,
15,5,"일단 싼가격에 이정도면 훌륭합니다.
침대옆에 두고 잘쓰고있어요",7o0o****,21.04.07.,0,협탁,침실가구
,,,,,,,
16,5,"가성비 좋고 tv장식장이 좁아서 구매했습니다
조립은 쉬운데 전동드라이버가 있어야 가능했네여
구멍이 작아서 손드라이버로는 안될거 같아요
전동으로 하면 금방합니다",hngb****,21.03.20.,0,협탁,침실가구
,,,,,,,
17,5,"배송 빨랐어요.
그리고 조립이 어렵지 않았습니다.
가격대비 나쁘지 않다고 생각합니다.
잘 쓰겠습니다. 감사합니다",goni****,21.03.18.,0,협탁,침실가구
,,,,,,,
18,5,조립하기는 조금 힘이드네요 그래도 싸게 잘 구입했습니다,kt95****,21.04.01.,0,협탁,침실가구
,,,,,,,
19,5,배송도빠르고 상품도 깔끔하니 좋아요,rlad****,21.04.06.,0,협탁,침실가구
,,,,,,,
20,5,"가성비갑
가습기올려두고쓰고있어요",jmjj****,21.04.08.,0,협탁,침실가구
,,,,,,,
21,4,"입구 협탁으로 쓰기 조아요.꽃병하나 얹엏네요.
조립할때 좀 힘들엇어요.
잘쓸게요.",doru****,21.03.27.,0,협탁,침실가구
,,,,,,,
22,4,상판이 뭔가 찍힌듯?한 느낌.. 나사 하나는 아무리 쪼여도 박아지지가 않음..,fltc****,21.04.02.,0,협탁,침실가구
,,,,,,,
23,5,조립이 힘들다는 리뷰가 있어 걱정했는데 생각보다 어렵지 않게 잘 조립했습니다~가격대비 깔끔하고 좋은 제품입니다??,teec****,21.03.20.,0,협탁,침실가구
,,,,,,,
24,5,넘 좋네용 ㅎㅎ잘쓸게용,pooh****,21.04.07.,0,협탁,침실가구
,,,,,,,
25,3,마감이 조금 덜된 느낌이 좀 있었어요... 모서리부분에 조각이 조금 부서져서 왔는데 보이지 않는곳이라 그냥 사용했어요. 자연스러운 느낌의 원목 느낌이여서 전체적으로 예뻐요~~^^,ojm8****,21.03.18.,0,협탁,침실가구
,,,,,,,
26,4,배송도 빨리 왔고 화면과 비슷해요,dmsd****,21.04.04.,0,협탁,침실가구
,,,,,,,
27,4,"나무가 좀 금이 가있는것도 있고 나사구멍도 조금씩 잘 안맞고 했지만 가격생각하면 괜찮은거 같아요..
색상도 깔끔하고 배송도 빠르네요..
베란다에 화분 올려 노려고 구입했는데 나름 괜찮네요",onse****,21.03.29.,0,협탁,침실가구
,,,,,,,
28,3,"실제는 생각보다 더 누런색이고 품질은 생각보다 많이 아쉽네요..
그냥 대충쓰려고 사긴했는데 좀 더 좋은 재품으로 살걸하는 아쉬움이 남는 제품입니다..
배송은 빨랐습니다.",zilj****,21.03.13.,0,협탁,침실가구
,,,,,,,
29,5,생각보다 좋은데 높이가 조금 안맞는지 덜컹거리네요~ 그래도 저렴한가격이 이만한 상품 좋습니다~,love****,21.03.18.,0,협탁,침실가구
,,,,,,,
30,1,침대쪽 가습기올려두려구 샀는데  일단 나사 들어가는 구멍부터가 너무작아서 전동드릴로 한번 뚫고 넣어야지 들어갔습니다  또한 균형이 안맞아 발 4개중 1개는 공중에 떠있구요,rlat****,21.03.18.,0,협탁,침실가구
,,,,,,,
31,5,공간 활용할 수있어 좋아요,jymi****,21.04.01.,0,협탁,침실가구
,,,,,,,
32,5,만족스러워요 이뻐요 심플해요,tkao****,21.03.30.,0,협탁,침실가구
,,,,,,,
33,3,나무 사포로 해주셔서 보내주시면,gust****,21.03.31.,0,협탁,침실가구
,,,,,,,
34,4,배송잘받았 습 니 다 잘 쓸 께요,free****,21.03.30.,0,협탁,침실가구
,,,,,,,
35,5,깔끔하고 예뻐요 맘에 듭니다,beau****,21.03.27.,0,협탁,침실가구
,,,,,,,
36,1,나무윗상판 윗부분이 쪼개져 왔네요. 그래도 사용은 할수있어서 그냥 사용합니다.,bisu****,21.04.07.,0,협탁,침실가구
,,,,,,,
37,4,"깔끔합니다.소나무라고  했어 믿고
구매 했어요.아담하니 이뻐요.",mjsf****,21.03.22.,0,협탁,침실가구
,,,,,,,
38,4,가격대비 아주 만족해요. 맨손으로 만지면 다치기 쉬우니 덮개는 필수입니다.,tour****,21.03.14.,0,협탁,침실가구
,,,,,,,
39,3,"상품  받고  리뷰가  좀  늦옸어요 
제품은  그런데로  괜찮은데  조립하기가 좀  어려워요  남편이랑 한참 걸려서  겨우 완성했어요
누가  잡아줘야지  혼자하기는 좀 ~
조립 다해  놓으니  한쪽이  약간  틈이  벌어지는데  귀찮아서  그냥  쓰려구요~",mili****,21.03.25.,0,협탁,침실가구
,,,,,,,
40,4,일단 빠른 배송 감사합니다 사이즈는 사이트에서 나왔던거랑 똑같네요 ㅎㅎ 잘 사용하겠습니다.,kdk6****,21.03.13.,0,협탁,침실가구
,,,,,,,
41,5,가볍게쓰기 좋은상품이예요,good****,21.03.27.,0,협탁,침실가구
,,,,,,,
42,5,예쁩니다ㅎㅎ 맘에들어요,dlgp****,21.03.25.,0,협탁,침실가구
,,,,,,,
43,5,제가 딱 원하던 크기랑 색상이라 마음에 들어요,thlu****,21.03.19.,0,협탁,침실가구
,,,,,,,
44,5,조립하기도 쉽고 튼튼하고 예쁘고 좋아요 !   다만 나무냄새가 조금나요 !,chl0****,21.03.13.,0,협탁,침실가구
,,,,,,,
45,5,화면에본 딱그대로입니다~~~~~,wo73****,21.03.27.,0,협탁,침실가구
,,,,,,,
46,5,"손으로 나사돌리기엔 빡빡해서 힘들것 같은데 
전동드릴이 있어 설치하기 매우 편했어요 . 
조립도 간편하고 적당히 가볍고 좋아요 !",kym9****,21.03.03.,0,협탁,침실가구
,,,,,,,
47,4,"마감처리가 아쉽네요
부드럽지 않고 군데 군데 찍힌데도 있고
아쉬운대로 그냥 써요
가격이 착하니까",fres****,21.03.24.,0,협탁,침실가구
,,,,,,,
48,4,가격대비 대체로 만족합니다,najb****,21.03.20.,0,협탁,침실가구
,,,,,,,
49,5,조립하기 쉽고 가벼워요,sqmd****,21.03.21.,0,협탁,침실가구
,,,,,,,
50,5,침대옆에 두었더니 크기가 딱이예요 ㅋ,jess****,21.03.21.,0,협탁,침실가구
,,,,,,,
51,2,"서랍형이 서랍형이 아니네여 
열고 꺼내고 닫는게 아니라 불편하네요
이런거면 18000원 추가 안했네요",dmsa****,21.03.31.,0,협탁,침실가구
,,,,,,,
52,5,좋아요. 높이도 딱 침대랑 맞고  그렇게 큰 편도 아니라서 자리차지도 많이 안 해요.흔들린다는 글 보고 걱정했는데 가습기 올려놔도 튼튼합니다. 삶의 질이 이 협탁 하나로 올라갔네요.,lims****,21.02.27.,0,협탁,침실가구
,,,,,,,
53,4,"리뷰보고 조립 겁먹었는데.. 5분도 안걸린것같아요
조립식이다보니깐 발이 잘 안맞아서 뒤틀림 현상있는데 조립할때 조절 잘 하셔야 할듯합니다. 무튼 잘 받았어요",dudd****,21.03.04.,0,협탁,침실가구
,,,,,,,
54,3,아주 좋아요 내구성은 사용해봐야될듯,sesq****,21.04.04.,0,협탁,침실가구
,,,,,,,
55,5,"배송도 빠르고 조립 쉬어요~^^
이번에 구입한 스탠드랑 넘 잘어울려요~
너무 만족합니다!",kiri****,21.03.09.,0,협탁,침실가구
,,,,,,,
56,5,생각한대로 딱 되었네요,lees****,21.03.23.,0,협탁,침실가구
,,,,,,,
57,3,"나사가 안와서 재발송해주셨는데 갯수가 부족하네요...12개가 와야하는데 8개..
사이즈가 만족스러워 주문했는데 발품팔아 사지않은걸 후회했어요.
동네 철물점까지 돌아다녀 나사구입하고..
구입부터 제품조립까지 과정이 너무 피곤했습니다..",sako****,21.03.17.,0,협탁,침실가구
,,,,,,,
58,5,나사 조이는건 약간 힘들었지만 가격대비 만족합니다,d597****,21.04.02.,0,협탁,침실가구
,,,,,,,
59,4,가볍고 따스하니 좋네요,zzan****,21.03.20.,0,협탁,침실가구
,,,,,,,
60,5,깔끔하고 이쁩니다.,cljg****,21.03.19.,0,협탁,침실가구
,,,,,,,
61,4,드릴로 뚝딱 조립했네요. 약간 부실한 느낌이 있고 살짝 균형이  안맞지만 쓸만해요...,hyun****,21.03.07.,0,협탁,침실가구
,,,,,,,
62,3,"예뻐요~
마감이 거칠어요",hi29****,21.03.14.,0,협탁,침실가구
,,,,,,,
63,5,배송 빠르고 가성비 좋습니다 ^^,kuna****,21.04.05.,0,협탁,침실가구
,,,,,,,
64,5,인테리어에 너무 잘어울리고 예쁘네용 ㅎㅎ 다만 전동드라이버 필수에요!!!!,eoee****,21.03.07.,0,협탁,침실가구
,,,,,,,
65,3,빠르게 배송오고 모양은 이미지와 같았는데 조립해서 설치하는게 너무 힘들었습니다ㅠㅠ 나사가 생각보다 잘 안들어가고 자꾸 삐뚤게 박히는가 하면  드라이버가 헛돌 정도라 나사 홈을 많이 긁어먹었습니다ㅠㅠ,west****,21.03.15.,0,협탁,침실가구
,,,,,,,
66,5,이뻐용 잘쓸게용 너무 예뻐여,kjh8****,21.04.07.,0,협탁,침실가구
,,,,,,,
67,5,딸아이 침대옆에 놔둘려고 샀는데 딱딱좋아요.진짜 잘산것같아요♡,codn****,21.03.06.,0,협탁,침실가구
,,,,,,,
68,5,빠른배송감사드리고 포장도 꼼꼼히해서 왔네요,djfd****,21.03.12.,0,협탁,침실가구
,,,,,,,
69,4,조립도 쉽고 괜찮습니다!,kmja****,21.03.14.,0,협탁,침실가구
,,,,,,,
70,5,전동드릴 있는거 아니면 만들어진거 사는 걸 추천드려요~ 집에있는 공구로 만들다가 죽을 뻔 했으니까요^_^ 그래도 힘든만큼 다 만들고나면 뿌듯함과 성취감은 배가 되었습니당 너무 예뻐요 요녀석??,djsw****,21.02.21.,0,협탁,침실가구
,,,,,,,
71,5,잘받았습니다 드라이버 전동 없으면 빌려서라도 전동을 사용하세요,ocdo****,21.03.10.,0,협탁,침실가구
,,,,,,,
72,5,좁은공간 현탁으로 좋아요^^,uky0****,21.03.16.,0,협탁,침실가구
,,,,,,,
73,4,가격도 저렴하고 가성비 만족 합니다,jand****,21.03.28.,0,협탁,침실가구
,,,,,,,
74,5,배송이빨라요  조립도쉬워요 ㅎ,omj4****,21.03.29.,0,협탁,침실가구
,,,,,,,
75,5,저렴한 가격에 잘 산거 같아요 크기도 딱 좋네요,1104****,21.03.03.,0,협탁,침실가구
,,,,,,,
76,5,"조립 혼자서 하면 힘들거같지만
이뻐요~",coj3****,21.03.12.,0,협탁,침실가구
,,,,,,,
77,5,"조립도 쉽고 가볍고 좋아요
나무결 마감이 좀 아쉽습니다",sski****,21.03.04.,0,협탁,침실가구
,,,,,,,
78,2,균형이 안맞고 구멍도 직선으로 바르게 안뚫려있는곳도 있었어요.  저렴한 가격에 그냥 사용합니다,youn****,21.02.27.,0,협탁,침실가구
,,,,,,,
79,4,자취방에 쓰려고 샀어요. 드릴이 있어서 그런지 쉽게 설치했어요. 한 4분 걸렸어요.,desi****,21.03.01.,0,협탁,침실가구
,,,,,,,
80,5,감사합니다  저렴하고  깔끔합니다,giho****,21.03.29.,0,협탁,침실가구
,,,,,,,
81,4,좋아요 좁은 집에 두려고 삿는데 딱 맞아요,choy****,21.03.10.,0,협탁,침실가구
,,,,,,,
82,4,배송 빠르고 원목이고 그냥 보조용으로 구입했으니 그냥 만족.,keun****,21.03.25.,0,협탁,침실가구
,,,,,,,
83,5,본 상품과 똑같고 적당히 만족행료 ㅎㅎㅎ,from****,21.03.12.,0,협탁,침실가구
,,,,,,,
84,5,전동드라이브없으면...손바닥 다까지는줄ㅎㅎ그치만 이쁘고좋아요,xpwl****,21.03.18.,0,협탁,침실가구
,,,,,,,
85,3,못을 박으려면 보통 드라이버로는 안되고요.. 전동드라이버.. 구하셔야될거에용.. 제가 못을 넣다가 안들어가서 걍 어중간한상태로 두고 쓰거든요ㅣㄱ사실분은 참고해주세용,lsbe****,21.03.15.,0,협탁,침실가구
,,,,,,,
86,5,너무예쁘네요 감사합니다,blue****,21.03.10.,0,협탁,침실가구
,,,,,,,
87,5,너무예쁘네요 감사합니다,blue****,21.03.10.,0,협탁,침실가구
,,,,,,,
88,5,"침대와 완전 깔맞춤에 조립이 정말 쉬워요
강추 합니다. 많이 판매하세요",qkrd****,21.02.23.,0,협탁,침실가구
,,,,,,,
89,1,"불량이네요
귀찮아서 그냥 써요.
엄청 흔들거림",fort****,21.03.03.,0,협탁,침실가구
,,,,,,,
90,5,조립도 쉽고 화장대옆에  두니 넘 예쁘네요,2hjz****,21.03.24.,0,협탁,침실가구
,,,,,,,
91,5,아주 잘쓰고있습니다.,yhsk****,21.03.31.,0,협탁,침실가구
,,,,,,,
92,5,전동으로하니 빨리되고 좋아요,ansd****,21.03.27.,0,협탁,침실가구
,,,,,,,
93,4,가격대비 너무 예쁘고 실용성이 종아요,cith****,21.03.22.,0,협탁,침실가구
,,,,,,,
94,5,아이방 침대옆 작은 선반이 필요했는데 싸이즈딱좋아요!! 맘에듭니다.,kky3****,21.02.23.,0,협탁,침실가구
