review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,"기존에 쓰던 매트리스가 12년정도 잘 사용했는데 스프링이 하나 망가져서 폭 튀어나와 좀 불편해서 새로 구입했어요
상품평을 보고
허리가 덜아프다는 것을 보고
이거다 싶어 선택했어요
가격도 저렴하더라구요
처음에는 조금 불편한가? 
허리도 계속 아픈데? 했는데
계속 쓰다보니 정말 허리통증이 없어졌어요
남편도 잘 샀다고 하네요ㅋ
저렴한 가격에 좋은 상품 
대박만족하고 있답니다.",05ly****,21.04.07.,1,매트리스,침실가구
,,,,,,,
2,5,"기존 매트리스를 버리고
저희꺼 하나
딸래미가 하나
2개를 구매했어요
처음에는 누워보지도 않고
상품평만 보고 구매하는데 괜찮을까?
싶었는데
사용해보니 알겠네요

매트리스 2개 연결해 사용하고 있는데
기존보다 넓어서 좋고
허리통증도 없어지니 더 더 좋네요
좋은상품
감사합니다.
강추~~~~",05ly****,21.04.07.,1,매트리스,침실가구
,,,,,,,
3,1,"한달정도 쓰고 있는데...적당한정도 
단 판매자 응대태도는 문제있어보입니다
배송비 안내는 2만원해놓고 계단집이라면 5만원요구하고 판매자문의하니 방어적으로 공지캡쳐떠서 보내고 기분상해 배송안받겠다하니 취소불가고...좀 더 부드럽게 중재하는 스킬은 없네요 
오히려 배송기사님과 협의해서 잘받았는데
구매시 잘 확인해보셔야 할듯해요",ratt****,21.03.26.,1,매트리스,침실가구
,,,,,,,
4,5,한달 사용한 결과 완전푹신하지도 너무딱딱하지도 않아 꿀잠자고있습니다~ 고양이가 걸어다녀도 모를정도로 개별스프링이 확실히 좋네요ㅎㅎ가성비굿!,joro****,21.04.03.,1,매트리스,침실가구
,,,,,,,
5,3,"비오는날 상품을 받았는데 비닐이 뜯어져서 매트리스가 젖은채로 받았습니다 투명테이프로 대충 발라놓은게 다라서 굉장히 기분이 나빴습니다.
매트리스는 매우좋네요 매트리스만 놓고봤을때는 별다섯개입니다",hyun****,21.03.25.,1,매트리스,침실가구
,,,,,,,
6,5,같은 브랜드 똑같은 침대퀸사이즈를 쓰고있어서 슈퍼싱글하나더 샀는데 딱맞네요~ 이미써본지라 쿠션감은 만족하고있었고요.. 두께가 타브랜드보다 두꺼워 좋았습니다. 후화안하실것같아 추천합니다,84sa****,21.03.23.,1,매트리스,침실가구
,,,,,,,
7,5,적당히 푹신하고 좋아요 너무 푹신한거보다 약간 딱딱한게 오래 사용할 수 있고 좋은거 같아요,dpdz****,21.03.29.,1,매트리스,침실가구
,,,,,,,
8,4,아직도 적응이 안된건지 허리가 아파요ㅠㅠ,yumi****,21.04.07.,1,매트리스,침실가구
,,,,,,,
9,5,"배송비는 35000원 추가되었습니다. 지역마다 차이가 있었어요.

매트리스 자체는 아주 만족스러워요. 커다란 비닐에 꼼꼼히 포장되어 있구요.(비닐이 좀 두껍고 커서 환경에 좀 미안하긴했어요ㅠ)

푹신함도 딱 적당한 수준이어서 맨바닥에서만 자다가 여기서 자니깐 숙면할수 있었어요!

두께는 아이패드 에어 세로 길이랑 거의 비슷해요.

사진 밑에 보이는 나무깔판은 따로 주문해서 샀습니다.",dbwl****,21.02.25.,1,매트리스,침실가구
,,,,,,,
10,5,메모리폼에 가격도 괜찮아서 잘 쓰고 있어요,khb9****,21.04.02.,1,매트리스,침실가구
,,,,,,,
11,2,"일단 배송 정말 느렸습니다.
퀸 두개 구매했는데 
하나는 괜찮은데
 나머지 하나가 색상도 누렇고 지퍼열어보니 검정이물질이 많아 교환했습니다
교환은 비교적 빨리 배송받았지만 번거로왔죠
그리고 정상 매트리스와 새로받은 매트리스의 높낮이가 약간 달라 매우 거슬리고 불편하네요(패밀리침대로사용중)
가격이 싸서 번거롭기도하고 그냥 씁니다만
참고들하세요.
톡톡 답변도 느리고 불친절.
 다시산다면 돈 더주고 제대로된거 살래요ㅋ",scen****,21.02.08.,1,매트리스,침실가구
,,,,,,,
12,5,생각보다 훨씬 편하고 가격도 저렴해서 좋아요~,ggwo****,21.04.01.,1,매트리스,침실가구
,,,,,,,
