review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,지정일 보단 좀 늦었지만 받는분이 좋아하셨어요,blas****,20.11.02.,1,부부테이블,침실가구
,,,,,,,
2,5,빠르고 싸고 좋아요,sjso****,19.04.08.,1,부부테이블,침실가구
,,,,,,,
3,5,이뻐요 ~~,jimj****,18.10.28.,1,부부테이블,침실가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,4,그냥그냥해요 넘 부실하고 엉성해요,tiph****,20.12.22.,5,부부테이블,침실가구
,,,,,,,
2,5,"튼튼하구  방석은 별도로 네이버에서 그냥 보이는거 샀구여  베란다에  저렇게 놓고 사용한지 짐 몇달은됬는데  나름  저만의 혼자 생각하는 공간이 됬어여~~~
저희집에 놀러오는사람들도 이공간을 젤 조아하네여
저렴한 가격에 정말 잘샀어여~~~^^
마니파세여~~~~",peal****,20.10.07.,5,부부테이블,침실가구
,,,,,,,
3,4,의자옆에 매듭 모양잡은곳이 끊어져 있고 엉성하네요,tiph****,20.11.16.,5,부부테이블,침실가구
,,,,,,,
4,5,써보진 안았지만 빠른배송이좋았어용,shel****,20.10.21.,5,부부테이블,침실가구
,,,,,,,
5,5,뒷베란다에 두려구샀는데 사이즈 딱맞구 생각했던것과 같아서 좋네여  싼티나지아나여  방석은 군데군데살짝 나무 껍질이 따가운데가있어서 제가 따로 구매했는데 물건은 괜차나여,peal****,20.07.31.,5,부부테이블,침실가구
,,,,,,,
6,5,"지인 선물로 줬어요~
이쁩니다!!!!!!!!!!",qhfk****,20.07.11.,5,부부테이블,침실가구
,,,,,,,
7,5,싸이즈도 좋고  디자인은  말할것도없고   분위기 너무좋아요,chun****,20.03.16.,5,부부테이블,침실가구
,,,,,,,
8,4,예뻐요.  잔가시들이  좀신경쓰이네요,chun****,20.01.31.,5,부부테이블,침실가구
,,,,,,,
9,5,"주방에 두니 딱 좋네요
",gusw****,18.10.04.,5,부부테이블,침실가구
,,,,,,,
10,5,저렴하게잘샀네요,9cha****,18.03.30.,5,부부테이블,침실가구
,,,,,,,
11,5,"교환  잘받았습니다
감사합니다^^",tkdh****,18.02.27.,5,부부테이블,침실가구
,,,,,,,
12,5,아주조아요 ,jdo7****,17.11.09.,5,부부테이블,침실가구
,,,,,,,
13,3,잘받았어요,pop6****,17.11.08.,5,부부테이블,침실가구
,,,,,,,
14,5,잘 받았습니다,anti****,17.10.21.,5,부부테이블,침실가구
,,,,,,,
15,4,괜찮아요 엄마가 티테이블이 갖고싶다하셔서 사드렸는데 마음에 들어하시네요그렇게 튼튼한거 같지 않지만 인테리어에 좋아보여요,tjfk****,17.09.14.,5,부부테이블,침실가구
,,,,,,,
16,5,넘예쁘고튼튼합니다,yum5****,17.08.27.,5,부부테이블,침실가구
,,,,,,,
17,5,좋아요 가격대도 너무맘에들고 디자인도 너무너무이뻐요  ㅋ 거실에놔둬도이뿌구 안방에둬도이뿌고 아주좋네요,zdsa****,17.08.07.,5,부부테이블,침실가구
,,,,,,,
18,3,ㅁㄹㅇㅎㅇ로,tjfk****,17.09.14.,5,부부테이블,침실가구
,,,,,,,
19,5,너무이뻥?ㄷ,zdsa****,17.08.07.,5,부부테이블,침실가구
,,,,,,,
20,5,만족합니다.,seon****,17.07.31.,5,부부테이블,침실가구
,,,,,,,
21,5,사진과 같아요 너무 고급스럽고 예쁘네요 ㅎㅎ,gmla****,17.06.22.,5,부부테이블,침실가구
,,,,,,,
22,5,"배송은 좀 걸렸지만 깔끔하니 좋습니다
가격이 저렴해서 더 좋으네요~~",dodu****,17.05.31.,5,부부테이블,침실가구
,,,,,,,
23,5,"예쁘고 튼튼해요^^ 두가지색깔 5셋트씩 10셋트 구입했습니다. 
가격대비 튼튼하고 예뻐서 대만족이어요.
작은 콘서트홀에서 티테이블로 사용하려 준비했는데 분위기를 확 살려주어서 더욱 기분이 좋습니다. 배송도 원하는대로 빨리 해주셔서 감사했습니다.",ogsy****,17.02.25.,5,부부테이블,침실가구
,,,,,,,
24,5,"예쁘고 튼튼해요 연주공간에 티테이블로 사용하려고 구입했는데요 정말 분위기가 산뜻해져서 기분이 완전 좋아졌어요^^
테이블에 유리깔고  의자에 방석만 놓아두면 완벽할거 같아요~ 배송도 빨리해주셔서 너무나 감사했습니다.",ogsy****,17.02.25.,5,부부테이블,침실가구
,,,,,,,
25,3,자꾸떨어지는게 많아어ㆍ찔리기두하고 가격이 비싸서 ㅜㅜ,kjyl****,17.03.12.,5,부부테이블,침실가구
,,,,,,,
26,5,"배송 진짜 빨리 해주셨어요~^^
감사해요",ogsy****,17.02.25.,5,부부테이블,침실가구
,,,,,,,
27,5,좋아요~ㅋㅋ,jonb****,17.03.04.,5,부부테이블,침실가구
,,,,,,,
28,5,예쁘고 튼튼하네요^^,ogsy****,17.02.25.,5,부부테이블,침실가구
,,,,,,,
29,5,배송도 빠르고 친절해요,chej****,17.02.17.,5,부부테이블,침실가구
,,,,,,,
30,3,테이블 다리가 잘 맞지 않아요.,mein****,16.10.19.,5,부부테이블,침실가구
,,,,,,,
31,5,디자인은 예쁜데 다리가 약간 부실한거 같아요~;;,arom****,16.07.26.,5,부부테이블,침실가구
,,,,,,,
32,4,저렴하게는 샀습니다 이만한 디자인에 저렴하게 잘 샀습니다그런데 너무 테이블이 가벼워요~ 배송시 유리를 맞춰주신다고해서 3만원주고 유리를 맞췄는데너무 얇은걸로해서 다시 새로 맞춰야할것같아요.유리업체가면 3만원이면 훨씬더 두껍고 큰걸로 맞춰주는데  편하게 하려고했다가 괜히 다시맞춰야하네요;상품자체는 저렴하고 좋습니다,cafe****,16.06.21.,5,부부테이블,침실가구
,,,,,,,
33,5,정말 좋아요,madi****,16.07.17.,5,부부테이블,침실가구
,,,,,,,
34,5,괜찮네요.~ 상품이 포장되서 배달 되는데 포장지 양이 엄청납니다.  의자및 탁자는 귀엽습니다. 괜찮네요,kang****,16.06.18.,5,부부테이블,침실가구
,,,,,,,
35,3,너무 가벼워요,cafe****,16.06.21.,5,부부테이블,침실가구
,,,,,,,
36,3,그럭저럭  하네요  ㅎ,cdd0****,16.06.01.,5,부부테이블,침실가구
,,,,,,,
37,5,가격대비 만족합니다.,kmsp****,16.05.17.,5,부부테이블,침실가구
,,,,,,,
