review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,"엄청난 검색에 힘빠질때쯤 공방하시는 지인분이 직접 추천해주신 제품이었어요
가격대비 디자인이나 원목상태등등 고려하여 좋으시다고 추천사유를 들었습니다

직접제품 받아보니
많은 후기가 실감나게 잘 만들어졌고
색감과 질감 디자인이 맘에 쏙 들었습니다

설치해주시는분  또한 친절하시고
깔끔하게  잘 마무리해주시고 가시네요

3주배송기간을 잡고기다렸는데
10일만에 온듯하네요^^

잘쓰겠습니다
좋은제품 만들어주셔서  감사드립니다",lucy****,21.04.07.,0,침대,침실가구
,,,,,,,
2,5,"생각했던 것 보다 더 튼튼하고 견고한 느낌이에요. 그리고 색상은 화면보다 좀 더 진한거 같은데 그래서 더이쁘고 고급스러워 보입니다~
헤드부분에 까진 것도 아니고 색이 덜 칠해진 것도 아니고 조금 이상한 부분이 있지만 예뻐서 그냥 용서하기로 했습니다ㅋㅋ
나머지 가구들도 마틴 시리즈로 바꾸고싶네요~",jina****,21.04.06.,0,침대,침실가구
,,,,,,,
3,5,"생각보다 너무 마음에 들어요!! 
일주일 정도 고민한거 같은데 왜 고민햇을까라는 생각이 들정도로 대만족이고 배송도 완전 빨라요
안방에 시몬스 블랙라벨로(프레임 매트리스포험)1000만원 주고 산것보다 더 마음에 드는데 
큰일이에요ㅠㅠㅠ 손님용 프레임으로 두긴 너무 아까운 1인이랍니다...ㅠㅠ
아무튼 홍보 많이 돼서 많이 많이 알려졌으면 좋겠어요??",morg****,21.04.06.,0,침대,침실가구
,,,,,,,
4,5,생각보다 높지만  그만한 매력이있어요 !! 딱좋아요 ㅎㅎ 색상 크기  단단함 최상입니다. 추천해드릴만한 프레임이에요^^ 저도 찾다찾다 찾은거라서 노력한만큼 만족도가 높아요 ^^ 또 이사가면 이쪽 프레임으로 사고싶을장도에요 !!,skgu****,21.03.18.,0,침대,침실가구
,,,,,,,
5,5,"침대 색감도 좋은 편이구요. 나무재질이 생각보다 좋은 것 같네여. 그리고 튼튼해서 가성비가 훌륭합니다.
암튼 좋은 물건인듯 합니다.",peat****,21.04.06.,0,침대,침실가구
